title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files,ad_id
Ford Ka 1.2  Style  3dr,1695,,80000,Manual,Petrol,Hatchback,1.2,3.0,Strabane,2023-02-18 23:56:28.588924,usedcarsni.com/2009-Ford-Ka-1-2-Style-3dr-315252768?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315252768
Mercedes A-Class A170  Elegance  SE  5dr,1750,,89000,Manual,Petrol,Hatchback,1.7,5.0,Monaghan,2023-02-18 23:56:28.590424,usedcarsni.com/2008-Mercedes-A-Class-A170-Elegance-SE-5dr-315340783?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315340783
Mazda 2 1.4  Antares  5dr,1785,,70500,Manual 5 speed,Petrol,Hatchback,1.4,5.0,Newtownabbey,2023-02-18 23:56:28.591923,usedcarsni.com/2007-Mazda-2-1-4-Antares-5dr-314731723?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314731723
Toyota Yaris 1.0  VVT-i  T3  3dr,1790,,0,,121000 Miles,Manual,0.0,0.0,3 door,2023-02-18 23:56:28.593922,usedcarsni.com/2006-Toyota-Yaris-1-0-VVT-i-T3-3dr-314475853?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314475853
Nissan Note 1.4  Acenta  5dr,1800,,92000,Manual,Petrol,MPV,1.4,5.0,Derrynoose,2023-02-18 23:56:28.595922,usedcarsni.com/2009-Nissan-Note-1-4-Acenta-5dr-315237748?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315237748
Renault Modus 1.2  Oasis  5dr,1850,,95000,Manual,Petrol,MPV,1.1,5.0,Belfast,2023-02-18 23:56:28.597423,usedcarsni.com/2006-Renault-Modus-1-2-Oasis-5dr-314373453?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,314373453
Renault Grand Scenic 1.5  dCi  Dynamique  5dr,1895,,150000,Manual,Diesel,MPV,1.5,5.0,Ballyclare,2023-02-18 23:56:28.598923,usedcarsni.com/2010-Renault-Grand-Scenic-1-5-dCi-Dynamique-5dr-315240859?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,315240859
Chevrolet Aveo 1.2  LS  5dr,1950,,109304,Manual,Petrol,Hatchback,1.2,5.0,Coleraine,2023-02-18 23:56:28.600923,usedcarsni.com/2009-Chevrolet-Aveo-1-2-LS-5dr-311319392?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,311319392
Peugeot 307 2.0  S  HDi  90  [AC]  5dr,1950,,106000,Manual,Diesel,Hatchback,2.0,5.0,Kesh,2023-02-18 23:56:28.602423,usedcarsni.com/2004-Peugeot-307-2-0-S-HDi-90-AC-5dr-313447432?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,,313447432
Seat Ibiza 1.6  Sport  3dr,2400,,124240,Manual,Petrol,Hatchback,1.6,3.0,Bangor,2023-02-18 23:56:29.299424,usedcarsni.com/2009-Seat-Ibiza-1-6-Sport-3dr-315185784?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315185784
BMW 3 Series CI,2450,,1214000,Automatic/Other,Petrol,Convertible,2.5,2.0,Newtownabbey,2023-02-18 23:56:29.301423,usedcarsni.com/2003-BMW-3-Series-CI-314692393?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314692393
Jaguar X-Type 3.0  V6  Sovereign  4dr  Auto,2450,,105000,Automatic/Other,Petrol,Saloon,3.0,4.0,Belfast,2023-02-18 23:56:29.303423,usedcarsni.com/2007-Jaguar-X-Type-3-0-V6-Sovereign-4dr-Auto-314692440?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314692440
Toyota Yaris 1.0  VVT-i  T2  3dr,2450,,75000,Manual,Petrol,Hatchback,1.0,3.0,Newry,2023-02-18 23:56:29.304924,usedcarsni.com/2008-Toyota-Yaris-1-0-VVT-i-T2-3dr-314737554?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314737554
Mercedes C-Class C180  Elegance  4dr  Auto,2450,,41600,Automatic/Other,Petrol,Saloon,1.8,4.0,Omagh(uk),2023-02-18 23:56:29.306923,usedcarsni.com/1996-Mercedes-C-Class-C180-Elegance-4dr-Auto-314947765?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314947765
Volkswagen Polo 1.2  E  55  5dr,2450,,96924,Manual,Petrol,Hatchback,1.2,5.0,Belfast,2023-02-18 23:56:29.308923,usedcarsni.com/2007-Volkswagen-Polo-1-2-E-55-5dr-315182360?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315182360
Audi A6 2.0  TDI  DPF  Limited  Edition  4dr  Multitronic,2475,,200000,Semi-Automatic,Diesel,Saloon,2.0,4.0,Lisnaskea,2023-02-18 23:56:29.310922,usedcarsni.com/2008-Audi-A6-2-0-TDI-DPF-Limited-Edition-4dr-Multitronic-314785122?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314785122
Ford Focus 1.6  TDCi  115  Zetec  5dr,2495,,140000,Manual,Diesel,Hatchback,1.6,5.0,Richill,2023-02-18 23:56:29.312423,usedcarsni.com/2011-Ford-Focus-1-6-TDCi-115-Zetec-5dr-307965554?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,307965554
Seat Exeo 2.0  TDI  CR  SE  Tech  4dr  [143],2495,,210000,Manual,Diesel,Saloon,2.0,4.0,Ballyclare,2023-02-18 23:56:29.314424,usedcarsni.com/2010-Seat-Exeo-2-0-TDI-CR-SE-Tech-4dr-143-309792082?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,309792082
Peugeot 308 1.6  HDi  92  Active  5dr,2495,,109131,Manual,Diesel,Hatchback,1.6,5.0,Antrim,2023-02-18 23:56:29.315923,usedcarsni.com/2012-Peugeot-308-1-6-HDi-92-Active-5dr-313077830?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,313077830
Peugeot 5008 1.6  HDi  110  Sport  5dr,2495,,116000,Manual,Diesel,MPV,1.6,5.0,Mullusk,2023-02-18 23:56:29.317924,usedcarsni.com/2010-Peugeot-5008-1-6-HDi-110-Sport-5dr-314167261?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314167261
Renault Clio 1.2  16V  Expression  5dr,2495,,76000,Manual,Petrol,Hatchback,1.1,5.0,Lisburn,2023-02-18 23:56:29.319423,usedcarsni.com/2008-Renault-Clio-1-2-16V-Expression-5dr-314171552?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314171552
Toyota Auris 1.6  VVTi  SR  5dr,2495,,118000,Manual,Petrol,Hatchback,1.6,5.0,Newry,2023-02-18 23:56:29.320923,usedcarsni.com/2009-Toyota-Auris-1-6-VVTi-SR-5dr-314537466?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314537466
Ford Fiesta 1.4  Ghia  5dr,2495,,99500,Manual,Petrol,Hatchback,1.4,5.0,Dunmurry,2023-02-18 23:56:29.323425,usedcarsni.com/2006-Ford-Fiesta-1-4-Ghia-5dr-314546697?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314546697
Suzuki SX4 1.6  GL  5dr,2495,,106450,Manual,Petrol,Hatchback,1.6,5.0,Lisburn,2023-02-18 23:56:29.325423,usedcarsni.com/2008-Suzuki-SX4-1-6-GL-5dr-314828631?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314828631
Ford Mondeo 2.0  Zetec  5dr,2495,,54347,Manual,Petrol,Saloon,2.0,5.0,Ballymoney,2023-02-18 23:56:29.327424,usedcarsni.com/2009-Ford-Mondeo-2-0-Zetec-5dr-314949493?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,314949493
Vauxhall Astra 1.4i  16V  Club  5dr,2495,,111822,Manual,Petrol,Hatchback,1.4,5.0,Carrickfergus,2023-02-18 23:56:29.328923,usedcarsni.com/2008-Vauxhall-Astra-1-4i-16V-Club-5dr-315081677?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315081677
Toyota Yaris 1.3  VVT-i  Blue  5dr,2495,,92000,Manual,Petrol,Hatchback,1.3,5.0,Ballygowan,2023-02-18 23:56:29.330922,usedcarsni.com/2004-Toyota-Yaris-1-3-VVT-i-Blue-5dr-315175537?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315175537
Peugeot 308 1.6  VTi  Sport  5dr,2495,,100000,Manual,Petrol,Estate,1.6,5.0,Rathfriland,2023-02-18 23:56:29.332423,usedcarsni.com/2008-Peugeot-308-1-6-VTi-Sport-5dr-315246448?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315246448
Volkswagen Polo 1.4  Twist  TDI  3dr,2495,,80000,Manual,Diesel,Hatchback,1.4,3.0,Ballymoney,2023-02-18 23:56:29.334424,usedcarsni.com/2005-Volkswagen-Polo-1-4-Twist-TDI-3dr-315397719?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,,315397719
Citroen C1 1.0i  VTR  3dr,2650,,112000,Manual,Petrol,Hatchback,1.0,3.0,Ballinderry upper,2023-02-18 23:56:30.012923,usedcarsni.com/2013-Citroen-C1-1-0i-VTR-3dr-315087708?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,,315087708
Ford Fiesta 1.6  TDCi  Zetec  S  3dr,2650,,122000,Manual,Diesel,Hatchback,1.6,3.0,Stewartstown,2023-02-18 23:56:30.014924,usedcarsni.com/2010-Ford-Fiesta-1-6-TDCi-Zetec-S-3dr-315240938?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,,315240938
Seat Leon 1.9  TDI  Ecomotive  SE  5dr,2650,,137000,Manual,Diesel,Hatchback,1.9,5.0,Ballymena,2023-02-18 23:56:30.016924,usedcarsni.com/2010-Seat-Leon-1-9-TDI-Ecomotive-SE-5dr-315400155?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=7&price_from=0&price_to=0&trans_type=0&user_type=0,,315400155
