title,price,year,milage,transmission,fuel_type,body_style,engine_size,doors,location,timestamp,link,files
Citroen C3 1.1i  Desire  5dr,1650,,65000,Manual,Petrol,Hatchback,1.1,5.0,Coleraine,2022-10-08 20:51:07.804591,usedcarsni.com/2007-Citroen-C3-1-1i-Desire-5dr-306812501?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Volvo V50 2.0D  SE  5dr  [Euro  4],1650,,147380,Manual 6 speed,Diesel,Estate,2.0,5.0,Coleraine,2022-10-08 20:51:07.810092,usedcarsni.com/2006-Volvo-V50-2-0D-SE-5dr-Euro-4-307964207?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Mazda 2 1.5  Sport  3dr,1650,,83000,Manual,Petrol,Hatchback,1.5,3.0,Bangor,2022-10-08 20:51:07.816091,usedcarsni.com/2008-Mazda-2-1-5-Sport-3dr-308003855?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Peugeot 206 2.0  SE  2dr,1650,,72000,Manual,Petrol,Saloon,2.0,2.0,Kilkeel,2022-10-08 20:51:07.822092,usedcarsni.com/2003-Peugeot-206-2-0-SE-2dr-308151973?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Avensis 1.8  VVT-i  Colour  Collection  4dr,1650,,119000,Manual 5 speed,Petrol,Saloon,1.8,4.0,Coleraine,2022-10-08 20:51:07.828592,usedcarsni.com/2008-Toyota-Avensis-1-8-VVT-i-Colour-Collection-4dr-308330774?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Golf 1.4  S  5dr,1650,,148000,Manual,Petrol,Hatchback,1.4,5.0,Coagh,2022-10-08 20:51:07.835592,usedcarsni.com/2010-Volkswagen-Golf-1-4-S-5dr-308527881?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=2&price_from=0&price_to=0&trans_type=0&user_type=0,
Toyota Verso 2.2  D-4D  SR  5dr,1995,,149000,Manual,Diesel,MPV,2.2,5.0,Bangor,2022-10-08 20:51:08.469091,usedcarsni.com/2008-Toyota-Verso-2-2-D-4D-SR-5dr-308103932?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Honda Civic 1.4  i-Dsi  SE  5dr,1995,,141000,Manual,Petrol,Hatchback,1.3,5.0,Lisburn,2022-10-08 20:51:08.473593,usedcarsni.com/2007-Honda-Civic-1-4-i-Dsi-SE-5dr-308112257?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Fiesta 1.25  Zetec  3dr  [Climate],1995,,55000,Manual,Petrol,Hatchback,1.2,3.0,Bt8 8fu,2022-10-08 20:51:08.480091,usedcarsni.com/2007-Ford-Fiesta-1-25-Zetec-3dr-Climate-308209791?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Volkswagen Polo 1.4  S  75  5dr  [AC],1995,,85000,Manual,Petrol,Hatchback,1.4,5.0,Lisburn,2022-10-08 20:51:08.486593,usedcarsni.com/2003-Volkswagen-Polo-1-4-S-75-5dr-AC-308376691?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Meriva 1.4i  16V  Active  Plus  5dr,1999,,63667,Manual,Petrol,MPV,1.4,5.0,County armagh,2022-10-08 20:51:08.493093,usedcarsni.com/2010-Vauxhall-Meriva-1-4i-16V-Active-Plus-5dr-308620214?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Nissan Sunny 1.6  LX  5dr  Auto,2000,,70000,Automatic,Petrol,Hatchback,1.6,5.0,Portadown,2022-10-08 20:51:08.503591,usedcarsni.com/1995-Nissan-Sunny-1-6-LX-5dr-Auto-281905862?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Vauxhall Astra 1.4i  16V  Energy  5dr,2000,,74477,Manual,Petrol,Hatchback,1.4,5.0,Richhill,2022-10-08 20:51:08.510093,usedcarsni.com/2007-Vauxhall-Astra-1-4i-16V-Energy-5dr-304000519?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Ford Transit Connect Low  Roof  Van  TDCi  75ps,2000,,160000,Manual,Diesel,Van,1.8,0,County antrim,2022-10-08 20:51:08.518592,usedcarsni.com/2008-Ford-Transit-Connect-Low-Roof-Van-TDCi-75ps-307929122?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Renault Megane 1.5  dCi  86  Expression  5dr,2100,,109875,Manual,Diesel,Hatchback,1.5,5.0,Downpatrick,2022-10-08 20:51:08.528091,usedcarsni.com/2009-Renault-Megane-1-5-dCi-86-Expression-5dr-307882289?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
Mitsubishi Colt 1.1  Black  5dr,2150,,14650,Manual,PETROL,Hatchback,1.1,5.0,Armagh,2022-10-08 20:51:08.535093,usedcarsni.com/2005-Mitsubishi-Colt-1-1-Black-5dr-307240074?make=0&search_type=1&age_from=0&age_to=0&body_style=0&distance_enabled=0&distance_postcode=&fuel_type=0&keywords=&mileage_to=0&pagepc0=5&price_from=0&price_to=0&trans_type=0&user_type=0,
